id;club_name;creation_date;type
1;Vagram;2019-02-11;SPORT
2;Rank;2008-05-11;SPORT
3;Sonsing;2013-02-04;GAMING
4;Fixflex;2002-09-15;GAMING
5;Daltfresh;2011-11-04;SPORT
6;Flexidy;2002-03-19;GAMING
7;Prodder;2006-03-20;SPORT
8;Bamity;2017-03-31;MUSIC
9;Cardguard;2004-10-02;GAMING
10;Transcof;2015-12-15;GAMING
11;Cardify;2018-06-24;SPORT
12;Sonair;2006-01-25;MUSIC
13;Sonair;2014-04-09;GAMING
14;Namfix;2017-05-25;MUSIC
15;Lotlux;2002-10-31;GAMING
16;Daltfresh;2013-08-22;MUSIC
17;Bamity;2001-07-01;MUSIC
18;Pannier;2014-03-11;MUSIC
19;Alpha;2005-09-20;MUSIC
20;Holdlamis;2017-04-03;SPORT
21;Redhold;2008-01-01;MUSIC
22;Konklab;2004-07-31;MUSIC
23;Cardify;2009-10-17;GAMING
24;Quo Lux;2005-12-21;SPORT
25;Bamity;2006-04-19;GAMING
26;Tempsoft;2011-08-18;MUSIC
27;Trippledex;2015-03-06;GAMING
28;Tampflex;2004-11-17;GAMING
29;Zontrax;2006-01-07;GAMING
30;Vagram;2003-06-13;SPORT
31;Domainer;2000-09-03;SPORT
32;Duobam;2017-04-11;GAMING
33;Regrant;2015-12-12;MUSIC
34;Zaam-Dox;2009-11-29;GAMING
35;Alpha;2013-12-06;SPORT
36;Lotlux;2017-05-25;MUSIC
37;Namfix;2011-05-20;MUSIC
38;Temp;2009-10-31;MUSIC
39;Duobam;2010-08-23;MUSIC
40;Greenlam;2004-01-17;MUSIC
41;Overhold;2001-09-14;MUSIC
42;Kanlam;2019-07-18;SPORT
43;Bigtax;2004-09-20;MUSIC
44;Y-Solowarm;2007-01-19;MUSIC
45;Konklab;2002-02-02;GAMING
46;Fintone;2001-07-01;MUSIC
47;Overhold;2013-11-17;SPORT
48;Fixflex;2000-02-26;MUSIC
49;It;2018-05-17;MUSIC
50;Bytecard;2011-09-23;MUSIC
51;Bigtax;2005-07-23;MUSIC
52;Namfix;2004-07-03;MUSIC
53;Transcof;2008-02-25;MUSIC
54;Kanlam;2017-12-08;SPORT
55;Konklux;2012-08-31;SPORT
56;Alpha;2018-01-17;GAMING
57;Tampflex;2011-06-12;GAMING
58;Fixflex;2011-04-30;SPORT
59;Asoka;2009-02-14;SPORT
60;Holdlamis;2002-10-07;GAMING
61;Pannier;2010-02-09;MUSIC
62;Subin;2008-01-14;MUSIC
63;Asoka;2000-08-29;SPORT
64;Zamit;2004-08-20;GAMING
65;Fix San;2017-02-28;SPORT
66;Trippledex;2012-04-03;GAMING
67;Veribet;2006-05-30;MUSIC
68;Greenlam;2008-02-07;SPORT
69;Overhold;2010-10-30;MUSIC
70;Y-find;2014-08-28;MUSIC
71;Fintone;2015-05-30;SPORT
72;Flexidy;2016-09-14;MUSIC
73;Sonair;2008-09-02;MUSIC
74;Domainer;2016-03-30;MUSIC
75;Greenlam;2009-05-03;MUSIC
76;Bitchip;2019-04-12;GAMING
77;Y-Solowarm;2010-07-20;MUSIC
78;Ventosanzap;2019-12-01;GAMING
79;Voltsillam;2016-05-04;GAMING
80;Fintone;2012-08-22;SPORT
81;Konklab;2013-09-10;SPORT
82;Cookley;2017-11-27;GAMING
83;Bamity;2007-07-02;GAMING
84;Flowdesk;2017-12-07;SPORT
85;Biodex;2013-10-06;SPORT
86;Prodder;2014-08-02;MUSIC
87;Stim;2012-06-10;MUSIC
88;Solarbreeze;2015-03-06;GAMING
89;Otcom;2005-04-04;GAMING
90;Ventosanzap;2002-12-18;GAMING
91;Pannier;2018-11-15;MUSIC
92;Andalax;2006-06-15;GAMING
93;Bamity;2000-09-13;GAMING
94;Alphazap;2008-09-07;MUSIC
95;Tin;2016-06-03;GAMING
96;Y-Solowarm;2001-10-17;SPORT
97;Toughjoyfax;2004-04-30;GAMING
98;Sonsing;2001-05-21;MUSIC
99;Asoka;2014-01-28;MUSIC
100;Lotlux;2000-08-08;MUSIC
