id;date;event_name
1;1913-01-15;Tournament
2;2000-06-27;Tournament
3;2005-08-15;Meeting
4;1978-06-12;Party
5;2004-10-15;Feedback
6;1928-05-14;Feedback
7;1991-11-03;Meeting
8;1959-02-13;Feedback
9;1945-01-11;Party
10;1932-04-28;Training
11;1956-03-23;Feedback
12;1960-06-14;Training
13;1917-11-01;Feedback
14;1961-05-19;Feedback
15;1950-12-16;Party
16;2007-04-12;Meeting
17;1939-01-15;Meeting
18;1928-05-19;Training
19;2008-02-21;Meeting
20;1972-04-30;Meeting
21;2001-09-01;Meeting
22;1919-08-27;Party
23;1957-04-29;Feedback
24;1915-10-01;Party
25;1924-07-09;Feedback
26;1989-03-21;Feedback
27;1903-10-12;Tournament
28;1950-03-08;Party
29;1946-06-04;Training
30;1948-12-17;Party
31;1923-09-01;Training
32;2015-08-05;Tournament
33;1986-04-02;Meeting
34;1976-12-08;Training
35;1967-10-08;Meeting
36;1986-06-18;Training
37;1968-03-24;Tournament
38;1978-04-21;Tournament
39;1918-02-28;Tournament
40;1923-05-30;Training
41;1938-10-10;Tournament
42;1909-02-22;Tournament
43;1984-07-14;Tournament
44;1918-04-13;Party
45;2016-01-17;Meeting
46;1932-01-05;Feedback
47;1932-09-30;Feedback
48;1974-03-28;Tournament
49;1998-05-07;Party
50;1948-12-16;Feedback
51;2016-10-12;Meeting
52;2016-10-01;Meeting
53;1960-10-11;Party
54;1958-01-03;Training
55;1947-06-16;Meeting
56;1937-04-24;Party
57;1971-11-28;Training
58;1999-10-14;Meeting
59;1998-02-05;Tournament
60;1932-04-06;Feedback
61;1997-07-03;Training
62;1957-04-17;Feedback
63;1906-10-10;Training
64;1931-12-28;Meeting
65;2004-03-23;Party
66;1912-01-07;Feedback
67;1963-04-05;Meeting
68;2001-09-06;Meeting
69;1916-09-05;Party
70;1970-11-17;Party
71;1988-07-25;Party
72;2012-03-15;Feedback
73;1956-10-17;Meeting
74;1997-10-03;Meeting
75;1957-04-26;Tournament
76;1956-01-06;Feedback
77;1917-09-27;Training
78;1996-11-04;Party
79;1967-01-12;Feedback
80;1985-10-09;Meeting
81;2004-04-29;Tournament
82;1943-08-28;Tournament
83;1911-10-08;Party
84;1903-11-20;Party
85;1940-09-05;Feedback
86;2014-07-30;Feedback
87;1966-07-05;Party
88;1925-07-18;Party
89;1969-06-10;Tournament
90;1985-10-24;Training
91;2011-01-08;Party
92;1909-12-27;Feedback
93;2002-08-09;Training
94;2010-04-01;Tournament
95;1973-06-23;Meeting
96;1966-01-24;Training
97;2019-03-23;Meeting
98;2009-08-02;Meeting
99;1936-03-20;Training
100;1966-08-15;Training
