id;amount;due_date;is_paid
1;99;2019-04-11;false
2;79;2019-02-13;false
3;76;2019-06-25;true
4;48;2019-08-01;true
5;37;2019-09-01;true
6;99;2019-05-22;false
7;62;2019-10-06;false
8;85;2019-10-24;false
9;67;2019-03-03;false
10;31;2019-10-01;true
11;52;2019-10-10;false
12;84;2019-05-28;true
13;47;2020-01-03;true
14;35;2019-04-09;false
15;35;2019-11-27;true
16;48;2019-02-21;true
17;83;2019-07-08;true
18;95;2019-11-27;true
19;30;2019-08-25;false
20;40;2019-03-15;false
21;10;2019-12-17;false
22;25;2019-06-15;true
23;83;2019-06-07;false
24;62;2019-09-01;true
25;79;2019-11-23;true
26;49;2019-08-22;true
27;72;2019-11-03;true
28;21;2019-11-10;true
29;61;2019-04-13;true
30;51;2019-05-03;false
31;82;2019-10-01;true
32;71;2019-03-03;false
33;14;2019-06-24;true
34;66;2019-01-29;true
35;78;2019-04-03;true
36;38;2019-06-28;true
37;53;2019-10-07;false
38;32;2019-10-26;false
39;86;2019-10-06;true
40;94;2019-06-20;false
41;64;2019-12-12;false
42;98;2019-02-10;true
43;39;2019-09-12;false
44;46;2020-01-23;false
45;87;2019-09-28;true
46;83;2019-10-08;true
47;31;2019-03-23;false
48;73;2019-05-14;false
49;53;2019-08-18;true
50;11;2019-08-11;false
51;23;2019-07-01;false
52;99;2019-07-24;true
53;80;2019-11-14;true
54;89;2020-01-24;true
55;41;2019-02-11;true
56;60;2019-07-05;false
57;50;2019-08-19;false
58;70;2020-01-12;false
59;87;2019-03-16;true
60;57;2019-07-14;false
61;58;2019-11-19;true
62;88;2019-07-08;true
63;88;2019-07-23;true
64;45;2019-05-19;true
65;28;2019-10-10;true
66;47;2019-06-21;false
67;14;2019-02-02;false
68;97;2019-12-19;false
69;33;2019-09-01;true
70;56;2019-08-15;true
71;71;2019-09-15;false
72;34;2019-08-04;true
73;97;2019-07-13;false
74;71;2019-12-18;true
75;91;2019-08-22;false
76;54;2019-06-26;false
77;98;2019-07-04;true
78;58;2019-08-04;true
79;68;2019-04-29;false
80;25;2019-11-26;true
81;74;2019-07-07;true
82;17;2019-03-10;true
83;70;2019-08-02;true
84;55;2019-08-22;false
85;44;2020-01-23;true
86;83;2019-03-20;true
87;51;2019-09-19;false
88;11;2019-06-14;false
89;100;2019-07-15;false
90;46;2019-04-23;true
91;96;2019-03-17;true
92;13;2019-11-30;false
93;63;2019-03-29;true
94;57;2019-11-09;false
95;78;2019-11-26;false
96;26;2019-10-05;false
97;14;2019-12-09;true
98;34;2019-07-30;false
99;85;2019-04-12;true
100;47;2019-01-29;true
